 TML TPD TAP GML GPD GAP EML EPD EAP WML WPD WAP
73 -7.470697751903455 702.7215362547765 151.88905665408106 -254.0794439200931 141.52964745469023 80.66121821334042 -7.700507790691063 -43.13670393406187 -0.17921115411621358 -14.035260960950911 -27.746312030866456 8.355008721671217
74 -7.540508554835391 705.0845505016891 152.30407400033488 -252.62621350725826 139.24371783858618 79.59203565628212 -7.67265194228241 -42.32069021115273 0.004710728671888376 -13.816903107630434 -27.021483268063747 8.181590330847852
75 -7.508137765702342 704.8620510658252 152.2165898512747 -251.05996249566343 136.80128217725374 78.29311275264067 -7.628760378746234 -41.58835116859072 0.15242722394224817 -13.614972595375802 -26.33575011401349 7.988454010479904
76 -7.374452003757492 702.1763101705744 151.65341267480852 -249.91398313871628 134.44957519396837 76.9200163387803 -7.598270479111287 -40.917398014831925 0.30598665089419086 -13.408030272846513 -25.63632439887381 7.788260948862577
77 -7.180198625870709 697.8083896032999 150.79918455630246 -249.24859755064253 132.38560952179438 75.62070390478702 -7.585781366604758 -40.3504819323135 0.44126485640979496 -13.221477434369909 -24.999950450735604 7.605830826116172
78 -6.97275457796503 692.8539432217675 149.8955982874184 -249.0063333560665 130.74901362883867 74.52228661151688 -7.592289464036927 -39.881502412302545 0.47636512424771027 -13.098003005913803 -24.539470784525275 7.479149680684774
79 -6.720135881072338 688.9734579478422 149.22790066143597 -248.97650622556915 129.59131972195755 73.67283309101134 -7.586384573811406 -39.57853249058081 0.5242740697763324 -12.982059206946055 -24.134361431269383 7.368919881887209
80 -5.926450598806731 661.8435924134095 141.872147844494 -237.38029362485966 129.77527428851778 73.08060912327755 -6.723059510409586 -42.42530424784966 -0.38641425065430823 -13.526539766190922 -26.356751233010076 7.169339649411714
81 -6.618363328143817 701.8407037683619 153.62424750677383 -263.3967479961757 129.9073056220563 72.80944367966083 -8.793035223302759 -35.68792899290933 1.315137360266747 -12.275914911833159 -21.179337430676195 7.390772239665176
82 -6.197152024519186 686.7243125432944 149.61581168556663 -244.08776878246948 127.0391046335616 71.90257907601246 -7.0730918654253205 -40.210210839903326 0.68655087703159 -12.678083881797171 -23.536998523728276 7.034423906033363
83 -5.94039113057886 679.9783573253221 148.18254374927534 -251.33118151326508 129.80881433643688 72.91430459912762 -7.718650640457108 -39.226867061520124 0.904448001360783 -12.677217416819602 -23.202289094851917 7.207551015879067
